日時,時,気圧(hPa)現地,気圧(hPa)海面,降水量(mm),気温(℃),露点温度(℃),蒸気圧(hPa),湿度(％),風向・風速(m/s)風速,風向・風速(m/s)風向,日照時間(h),全天日射量(MJ/㎡),雪(cm)降雪,雪(cm)積雪,天気,雲量,視程(km)
2024-04-01 01:00:00,1,1004.0,1006.9,--,16.1,10.2,12.4,68,2.9,北東,,,--,--,,,
2024-04-01 02:00:00,2,1003.3,1006.2,0.0,15.7,10.1,12.3,69,2.7,北北東,,,--,--,,,
2024-04-01 03:00:00,3,1003.2,1006.1,--,15.4,10.0,12.2,70,1.4,北東,,,--,--,,10,15.0
2024-04-01 04:00:00,4,1002.7,1005.6,--,15.3,9.9,12.2,70,2.0,北北東,,,--,--,,,
2024-04-01 05:00:00,5,1002.5,1005.4,0.0,14.4,10.6,12.8,78,3.3,東北東,,0.00,--,--,,,
2024-04-01 06:00:00,6,1003.4,1006.3,0.0,12.6,10.2,12.4,85,2.3,北,0.0,0.00,--,--,,10,12.0
2024-04-01 07:00:00,7,1003.7,1006.6,2.5,12.5,11.9,13.9,96,2.6,北,0.0,0.04,--,--,,,
2024-04-01 08:00:00,8,1004.2,1007.1,0.5,12.3,11.7,13.7,96,2.0,北北東,0.0,0.15,--,--,,,
2024-04-01 09:00:00,9,1004.1,1007.0,--,12.6,10.7,12.8,88,2.5,北東,0.0,0.38,--,--,,10,15.0
2024-04-01 10:00:00,10,1004.2,1007.1,--,13.8,8.4,11.0,70,2.1,東北東,0.0,1.08,--,--,,,
2024-04-01 11:00:00,11,1003.4,1006.3,--,15.8,8.3,11.0,61,1.7,東北東,0.5,2.36,--,--,,,
2024-04-01 12:00:00,12,1002.6,1005.4,--,17.1,8.5,11.1,57,2.0,東,0.6,2.60,--,--,,2,15.0
2024-04-01 13:00:00,13,1002.2,1005.0,--,18.0,10.1,12.4,60,3.9,南南東,0.9,2.76,--,--,,,
2024-04-01 14:00:00,14,1001.9,1004.7,--,18.3,9.9,12.2,58,3.8,南南東,1.0,2.76,--,--,,,
2024-04-01 15:00:00,15,1002.3,1005.1,--,18.6,10.2,12.4,58,3.5,南南東,0.8,1.98,--,--,,4,12.0
2024-04-01 16:00:00,16,1003.0,1005.9,0.0,16.3,11.5,13.5,73,4.5,南南東,0.0,0.32,--,--,,,
2024-04-01 17:00:00,17,1004.0,1006.9,0.0,15.5,10.1,12.3,70,5.2,南南東,0.0,0.33,--,--,,,
2024-04-01 18:00:00,18,1005.0,1007.9,0.0,13.8,10.1,12.3,78,4.3,南南東,0.0,0.09,--,--,,8,15.0
2024-04-01 19:00:00,19,1006.4,1009.3,0.0,13.2,9.1,11.5,76,2.2,東,,0.00,--,--,,,
2024-04-01 20:00:00,20,1007.8,1010.7,--,13.0,8.7,11.2,75,1.8,東北東,,,--,--,,,
2024-04-01 21:00:00,21,1008.6,1011.5,--,12.2,8.3,10.9,77,1.8,東,,,--,--,,0+,15.0
2024-04-01 22:00:00,22,1009.1,1012.0,--,12.2,8.5,11.1,78,1.7,北北西,,,--,--,,,
2024-04-01 23:00:00,23,1010.0,1012.9,--,12.4,8.5,11.1,77,1.7,北西,,,--,--,,,
2024-04-02 00:00:00,24,1010.4,1013.3,--,12.8,3.5,7.8,53,3.9,北西,,,--,--,,,
