year,month,price(kJPY_MT)
2001,1,29.02366846
2001,2,28.84643653
2001,3,29.63733749
2001,4,30.26732977
2001,5,29.48242948
2001,6,29.28041872
2001,7,29.91684447
2001,8,28.95903374
2001,9,28.13108695
2001,10,28.27497579
2001,11,27.53545176
2001,12,27.38187992
2002,1,28.37840242
2002,2,28.37171598
2002,3,27.21071479
2002,4,27.21601348
2002,5,26.86661029
2002,6,26.3564426
2002,7,25.90795924
2002,8,26.74919734
2002,9,27.58610228
2002,10,29.0700866
2002,11,29.00237301
2002,12,29.13385047
2003,1,29.22822157
2003,2,29.77519607
2003,3,29.35241197
2003,4,29.73974623
2003,5,29.23009925
2003,6,29.19323899
2003,7,29.2458882
2003,8,29.0006987
2003,9,28.65667818
2003,10,26.77902112
2003,11,26.77239426
2003,12,26.8388581
2004,1,26.36903954
2004,2,26.50494718
2004,3,27.66214623
2004,4,27.15448521
2004,5,28.20184513
2004,6,29.15254193
2004,7,28.6898415
2004,8,29.67825865
2004,9,31.00735276
2004,10,31.69749366
2004,11,30.4636892
2004,12,30.61941539
2005,1,29.22611469
2005,2,30.14201692
2005,3,30.48713672
2005,4,31.59879218
2005,5,31.64999823
2005,6,31.89671888
2005,7,34.69814635
2005,8,35.96181882
2005,9,36.60173799
2005,10,38.20860809
2005,11,40.67849338
2005,12,40.32451845
2006,1,39.31832531
2006,2,42.67869151
2006,3,43.50330141
2006,4,40.97357189
2006,5,40.7271352
2006,6,41.53646673
2006,7,41.04530223
2006,8,43.58537347
2006,9,46.35260773
2006,10,44.1691362
2006,11,44.28546212
2006,12,44.56420474
2007,1,44.03112927
2007,2,43.35567786
2007,3,42.26905911
2007,4,43.55474742
2007,5,44.89580091
2007,6,44.98660474
2007,7,46.3915276
2007,8,47.64339488
2007,9,47.34027348
2007,10,51.55658617
2007,11,54.01230728
2007,12,52.71014986
2008,1,57.09612664
2008,2,58.13116237
2008,3,59.33098337
2008,4,59.77405619
2008,5,62.84786747
2008,6,65.99035453
2008,7,68.6731267
2008,8,74.53362882
2008,9,81.08893203
2008,10,78.5805049
2008,11,76.67701084
2008,12,65.246743
2009,1,59.62364073
2009,2,50.78883283
2009,3,48.15893855
2009,4,41.72067768
2009,5,37.64805084
2009,6,36.12935706
2009,7,37.08644925
2009,8,38.31666811
2009,9,39.98291179
2009,10,42.78260546
2009,11,43.96275387
2009,12,45.73591954
2010,1,48.83411081
2010,2,48.51730715
2010,3,50.59747199
2010,4,52.02930926
2010,5,54.40297053
2010,6,49.71705538
2010,7,51.73449177
2010,8,50.34117439
2010,9,48.37326936
2010,10,47.28204223
2010,11,46.59611759
2010,12,47.52756376
2011,1,49.76122229
2011,2,52.20716728
2011,3,53.80897565
2011,4,56.27102
2011,5,57.41705043
2011,6,60.82943939
2011,7,66.82699389
2011,8,66.32025581
2011,9,65.3126342
2011,10,65.66597861
2011,11,67.63500277
2011,12,66.70616442
2012,1,66.82890985
2012,2,65.72953388
2012,3,70.25645557
2012,4,71.43343156
2012,5,71.03062193
2012,6,70.97586151
2012,7,74.35692213
2012,8,72.65202156
2012,9,68.34130228
2012,10,62.85425399
2012,11,63.19963525
2012,12,67.20954789
2013,1,73.89380285
2013,2,79.76104084
2013,3,80.32110938
2013,4,82.4703398
2013,5,85.25519029
2013,6,84.21087088
2013,7,83.81587378
2013,8,79.34789471
2013,9,77.32400153
2013,10,77.48237782
2013,11,80.18266119
2013,12,85.27663995
2014,1,90.06196148
2014,2,89.01921948
2014,3,88.04343123
2014,4,89.46855292
2014,5,86.85866956
2014,6,85.62915399
2014,7,85.18006862
2014,8,84.3310336
2014,9,84.63661247
2014,10,89.24599782
2014,11,94.37359255
2014,12,96.5347683
2015,1,91.79504125
2015,2,81.32034861
2015,3,75.52485123
2015,4,63.33636236
2015,5,54.80852411
2015,6,55.23951716
2015,7,56.94381544
2015,8,58.74675626
2015,9,60.17388286
2015,10,58.94651316
2015,11,56.67878819
2015,12,53.70591059
2016,1,48.1600448
2016,2,47.55605633
2016,3,42.39944427
2016,4,36.32646921
2016,5,33.24854416
2016,6,32.87842849
2016,7,34.18888035
2016,8,35.12763365
2016,9,37.34943996
2016,10,38.59882473
2016,11,39.9257798
2016,12,42.83616913
2017,1,44.99518793
2017,2,46.21342734
2017,3,45.28128223
2017,4,46.89873937
2017,5,49.61301122
2017,6,47.8841298
2017,7,48.43375212
2017,8,47.60548317
2017,9,46.49429423
2017,10,45.62998605
2017,11,46.33954636
2017,12,47.45880217
2018,1,50.60625622
2018,2,51.68826524
2018,3,52.22364424
2018,4,52.82156702
2018,5,54.67608438
2018,6,56.00510165
2018,7,56.74450539
2018,8,58.91735142
2018,9,61.59144625
2018,10,63.94123482
2018,11,64.43764098
2018,12,65.38620577
2019,1,62.85011935
2019,2,63.33602944
2019,3,61.03421452
2019,4,55.7222691
2019,5,54.27229644
2019,6,52.72589962
2019,7,53.26222
2019,8,56.08348172
2019,9,52.96057316
2019,10,52.45974513
2019,11,53.17784389
2019,12,53.3378839
2020,1,52.55825716
2020,2,52.90897885
2020,3,53.35764407
2020,4,52.42797432
2020,5,52.48779308
2020,6,46.91164253
2020,7,40.40698967
2020,8,32.68601128
2020,9,30.25177314
2020,10,31.78062719
2020,11,34.79296876
2020,12,38.63985992
2021,1,45.38154859
2021,2,50.592372
2021,3,41.69852878
2021,4,43.88169227
2021,5,47.27589355
2021,6,51.45393556
2021,7,55.52118885
2021,8,57.64024623
2021,9,61.24179282
2021,10,68.56704681
2021,11,84.50586284
2021,12,84.86314113
2022,1,82.02161333
2022,2,95.13506131
2022,3,87.12345082
2022,4,99.97575357
2022,5,104.4057742
2022,6,101.1027094
2022,7,125.4457333
2022,8,139.370543
2022,9,164.9220296
2022,10,156.3392402
2022,11,135.4447976
2022,12,134.8640028
2023,1,128.0225173
2023,2,118.9345604
2023,3,104.2115348
2023,4,93.1595771
2023,5,89.46076142
2023,6,87.05207524
2023,7,89.045681
2023,8,88.270061
2023,9,87.65663317
2023,10,91.75360494
2023,11,92.64232971
2023,12,101.0677485
2024,1,101.877978
2024,2,99.14042211
2024,3,95.96943788
2024,4,88.72480139
2024,5,92.19056842
2024,6,93.03339065
2024,7,95.83062803
2024,8,94.67912023
